Trial,DAP,PlotID,Plot,row,range,Name,Total.yield,spec.grav,vine.maturity,Red,Green,Blue,NGRDI,BGI,GLI,PH,Volume,Canopy
chips_HARS_2022,28,1,1,1,1,MSGG190-1,588.2415,1.068,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,10,10,10,1,W19015-4,580.34625,1.082,9,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,100,100,13,8,W19031-12,555.23875,1.077,5,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,101,101,12,8,W19026-20,499.91755,1.069,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,102,102,11,8,W19031-1,707.96495,1.074,6,77.5999984741211,80.6857147216797,50.3142852783203,0.0202174615114927,0.622766077518463,0.116411618888378,0,0,0.138
chips_HARS_2022,28,103,103,10,8,W19022-12,604.395,1.068,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,104,104,9,8,ND1776-8,583.7645,1.068,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,105,105,8,8,W19009-25,614.58925,1.073,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,106,106,7,8,W17060-9,625.83015,1.087,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,107,107,6,8,MSGG268-4,580.83025,1.065,7,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,108,108,5,8,W19026-18,661.22265,1.072,8,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,109,109,4,8,W19027-39,540.07745,1.077,5,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,11,11,11,1,MSGG690-1,330.7051,1.072,6,70.361701965332,72.5957412719727,46.2553176879883,0.0157284438610077,0.636503517627716,0.109430588781834,0,0,0.186
chips_HARS_2022,28,110,110,3,8,W19024-15,540.2045,1.096,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,111,111,2,8,ND1741C-5,598.08485,1.071,6,64.7254867553711,64.9019622802734,39.8235282897949,0.00133869948331267,0.611195743083954,0.10854610055685,0,0,0.202
chips_HARS_2022,28,112,112,1,8,MN19TX18093-1,808.8124,1.063,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,113,113,1,9,W19024-17,614.04475,1.067,5,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,114,114,2,9,MSGG863-A2,812.1762,1.076,7,84.0588226318359,86.2352905273438,55.529411315918,0.0130317490547895,0.643628418445587,0.10566520690918,0,0,0.067
chips_HARS_2022,28,115,115,3,9,MSGG181-5,475.87485,1.073,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,116,116,4,9,W19013-8,585.0471,1.087,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,117,117,5,9,W19012-12,463.0065,1.082,5,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,118,118,6,9,W19027-7,657.0542,1.067,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,119,119,7,9,W19007-4,705.5994,1.078,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,12,12,12,1,W17037-3,651.91775,1.076,7,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,120,120,8,9,W19020-20,558.1851,1.076,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,121,121,9,9,W17043-37,716.04775,1.076,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,122,122,10,9,W19022-18,638.2145,1.064,5,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,123,123,11,9,W19030-1,654.5495,1.073,7,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,124,124,12,9,W19027-4,554.01665,1.073,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,125,125,13,9,W19027-58,655.37835,1.071,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,126,126,14,9,W17049-10,541.3419,1.079,8,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,127,127,14,10,W19016-5,519.94305,1.069,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,128,128,13,10,ND1734-4,606.4278,1.068,5,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,129,129,12,10,Snowden,690.1235,1.076,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,13,13,13,1,W19005-5,545.7342,1.073,7,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,130,130,11,10,W19028-6,494.36365,1.07,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,131,131,10,10,W19026-1,673.28635,1.068,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,132,132,9,10,MSGG194-3,881.35795,1.068,7,80.7111129760742,88.4000015258789,55.8888893127441,0.0473250187933445,0.631191611289978,0.129728302359581,0,0,0.178
chips_HARS_2022,28,133,133,8,10,MSGG221-3,619.46555,1.063,8,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,134,134,7,10,W19012-30,584.0549,1.089,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,135,135,6,10,W19022-16,572.9713,1.073,5,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,136,136,5,10,W19009-23,468.32445,1.072,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,137,137,4,10,W19ND1810Y-10,666.42565,1.075,9,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,138,138,3,10,MSGG190-4,648.31195,1.065,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,139,139,2,10,FILL,NA,NA,NA,81.4390258789062,84.6585388183594,54.7560958862305,0.0195550881326199,0.646311938762665,0.108716815710068,0,0,0.162
chips_HARS_2022,28,14,14,14,1,MSGG365-1,559.28015,1.077,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,140,140,1,10,W19009-20,634.37275,1.064,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,141,141,1,11,W19027-32,676.4142,1.065,6,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,142,142,2,11,W19023-17,657.94355,1.072,9,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,143,143,3,11,W19022-9,457.99105,1.077,7,NA,NA,NA,NA,NA,NA,NA,0,0
chips_HARS_2022,28,144,144,4,11,W19027-50,632.7453,1.068,6,NA,NA,NA,NA,NA,NA,NA,0,0
