trial,year,loc,DAP,Plot,Row,Range,gid,Canopy,GLI
HARS20_chips,2020,HARS,0,1,1,1,W17037-24,0,0
HARS20_chips,2020,HARS,29,1,1,1,W17037-24,0,0.00272158952429891
HARS20_chips,2020,HARS,36,1,1,1,W17037-24,0.67,-0.000896594836376607
HARS20_chips,2020,HARS,42,1,1,1,W17037-24,15.114,0.0322547256946564
HARS20_chips,2020,HARS,56,1,1,1,W17037-24,75.424,0.23268960416317
HARS20_chips,2020,HARS,76,1,1,1,W17037-24,99.811,0.334561944007874
HARS20_chips,2020,HARS,92,1,1,1,W17037-24,99.811,0.266157031059265
HARS20_chips,2020,HARS,100,1,1,1,W17037-24,99.811,0.198606073856354
HARS20_chips,2020,HARS,0,10,10,1,W17044-15,0,0
HARS20_chips,2020,HARS,29,10,10,1,W17044-15,0,0.0016077725449577
HARS20_chips,2020,HARS,36,10,10,1,W17044-15,7.8,0.0126167489215732
HARS20_chips,2020,HARS,42,10,10,1,W17044-15,33.888,0.0849818736314774
HARS20_chips,2020,HARS,56,10,10,1,W17044-15,94.714,0.349471807479858
HARS20_chips,2020,HARS,76,10,10,1,W17044-15,100,0.393749862909317
HARS20_chips,2020,HARS,92,10,10,1,W17044-15,100,0.323542416095734
HARS20_chips,2020,HARS,100,10,10,1,W17044-15,100,0.248565763235092
HARS20_chips,2020,HARS,0,100,2,8,W17060-9,0,0
HARS20_chips,2020,HARS,29,100,2,8,W17060-9,0,-0.00350381154567003
HARS20_chips,2020,HARS,36,100,2,8,W17060-9,10.137,0.0145913977175951
HARS20_chips,2020,HARS,42,100,2,8,W17060-9,40.793,0.108814395964146
HARS20_chips,2020,HARS,56,100,2,8,W17060-9,95.902,0.266281604766846
HARS20_chips,2020,HARS,76,100,2,8,W17060-9,100,0.364282101392746
HARS20_chips,2020,HARS,92,100,2,8,W17060-9,100,0.323383182287216
HARS20_chips,2020,HARS,100,100,2,8,W17060-9,100,0.250831067562103
HARS20_chips,2020,HARS,0,101,3,8,W17047-11,0,0
HARS20_chips,2020,HARS,29,101,3,8,W17047-11,0,-0.000667820277158171
HARS20_chips,2020,HARS,36,101,3,8,W17047-11,0.131,-0.00805815123021603
HARS20_chips,2020,HARS,42,101,3,8,W17047-11,19.993,0.0479912161827087
HARS20_chips,2020,HARS,56,101,3,8,W17047-11,73.986,0.192897647619247
HARS20_chips,2020,HARS,76,101,3,8,W17047-11,99.781,0.361614286899567
HARS20_chips,2020,HARS,92,101,3,8,W17047-11,100.014,0.3321473300457
HARS20_chips,2020,HARS,100,101,3,8,W17047-11,100.014,0.249039024114609
HARS20_chips,2020,HARS,0,102,4,8,W17039-27,0,0
HARS20_chips,2020,HARS,29,102,4,8,W17039-27,0,-0.00335568352602422
HARS20_chips,2020,HARS,36,102,4,8,W17039-27,1.872,-0.00423000659793615
HARS20_chips,2020,HARS,42,102,4,8,W17039-27,23.267,0.0547816008329391
HARS20_chips,2020,HARS,56,102,4,8,W17039-27,66.223,0.168504863977432
HARS20_chips,2020,HARS,76,102,4,8,W17039-27,100,0.355408787727356
HARS20_chips,2020,HARS,92,102,4,8,W17039-27,100,0.268070042133331
HARS20_chips,2020,HARS,100,102,4,8,W17039-27,100,0.145548418164253
HARS20_chips,2020,HARS,0,103,5,8,W17037-18,0,0
HARS20_chips,2020,HARS,29,103,5,8,W17037-18,0,-0.00120706344023347
HARS20_chips,2020,HARS,36,103,5,8,W17037-18,0.772,-0.00355396466329694
HARS20_chips,2020,HARS,42,103,5,8,W17037-18,23.962,0.0553155317902565
HARS20_chips,2020,HARS,56,103,5,8,W17037-18,73.212,0.196438908576965
HARS20_chips,2020,HARS,76,103,5,8,W17037-18,100,0.37372487783432
HARS20_chips,2020,HARS,92,103,5,8,W17037-18,100,0.340402871370316
HARS20_chips,2020,HARS,100,103,5,8,W17037-18,100,0.294869154691696
HARS20_chips,2020,HARS,0,104,6,8,W17039-13,0,0
HARS20_chips,2020,HARS,29,104,6,8,W17039-13,0,-0.00435025757178664
HARS20_chips,2020,HARS,36,104,6,8,W17039-13,1.165,-0.0163154918700457
HARS20_chips,2020,HARS,42,104,6,8,W17039-13,19.449,0.0443747341632843
HARS20_chips,2020,HARS,56,104,6,8,W17039-13,72.234,0.214976340532303
HARS20_chips,2020,HARS,76,104,6,8,W17039-13,100,0.368736028671265
HARS20_chips,2020,HARS,92,104,6,8,W17039-13,100,0.306305199861526
HARS20_chips,2020,HARS,100,104,6,8,W17039-13,100,0.263787567615509
HARS20_chips,2020,HARS,0,105,7,8,W17065-8,0,0
HARS20_chips,2020,HARS,29,105,7,8,W17065-8,0,-0.00240852264687419
HARS20_chips,2020,HARS,36,105,7,8,W17065-8,6.443,0.00798777863383293
HARS20_chips,2020,HARS,42,105,7,8,W17065-8,30.722,0.0757047384977341
HARS20_chips,2020,HARS,56,105,7,8,W17065-8,81.354,0.265966862440109
HARS20_chips,2020,HARS,76,105,7,8,W17065-8,99.713,0.388507753610611
HARS20_chips,2020,HARS,92,105,7,8,W17065-8,99.884,0.363650172948837
HARS20_chips,2020,HARS,100,105,7,8,W17065-8,99.884,0.297724276781082
HARS20_chips,2020,HARS,0,106,8,8,W17039-20,0,0
HARS20_chips,2020,HARS,29,106,8,8,W17039-20,0,-0.00297831650823355
HARS20_chips,2020,HARS,36,106,8,8,W17039-20,0.67,-0.0105816666036844
HARS20_chips,2020,HARS,42,106,8,8,W17039-20,14.45,0.0360960587859154
HARS20_chips,2020,HARS,56,106,8,8,W17039-20,53.701,0.172919422388077
HARS20_chips,2020,HARS,76,106,8,8,W17039-20,94.541,0.280361920595169
HARS20_chips,2020,HARS,92,106,8,8,W17039-20,94.541,0.155386283993721
HARS20_chips,2020,HARS,100,106,8,8,W17039-20,94.541,0.0880514681339264
