Trial,DAP,Plot,Row,Range,gid,GC,ph,yield
HARS22_chips,0,1,1,1,MSGG190-1,0,0,588.2415
HARS22_chips,28,1,1,1,MSGG190-1,0,0,588.2415
HARS22_chips,42,1,1,1,MSGG190-1,29.535,0.0938998609781265,588.2415
HARS22_chips,50,1,1,1,MSGG190-1,66.474,0.200388565659523,588.2415
HARS22_chips,62,1,1,1,MSGG190-1,92.201,0.716754138469696,588.2415
HARS22_chips,77,1,1,1,MSGG190-1,99.754,0.563077569007874,588.2415
HARS22_chips,84,1,1,1,MSGG190-1,100.04,0.445979803800583,588.2415
HARS22_chips,96,1,1,1,MSGG190-1,99.975,0.338879108428955,588.2415
HARS22_chips,105,1,1,1,MSGG190-1,98.783,0.292781352996826,588.2415
HARS22_chips,0,2,2,1,W19016-2,0,0,430.83865
HARS22_chips,28,2,2,1,W19016-2,0,0,430.83865
HARS22_chips,42,2,2,1,W19016-2,10.782,0.018795944750309,430.83865
HARS22_chips,50,2,2,1,W19016-2,43.61,0.0404068678617477,430.83865
HARS22_chips,62,2,2,1,W19016-2,82.922,0.708960950374603,430.83865
HARS22_chips,77,2,2,1,W19016-2,99.895,0.646141052246094,430.83865
HARS22_chips,84,2,2,1,W19016-2,99.747,0.508728444576263,430.83865
HARS22_chips,96,2,2,1,W19016-2,100.017,0.391227900981903,430.83865
HARS22_chips,105,2,2,1,W19016-2,99.972,0.339486330747604,430.83865
HARS22_chips,0,3,3,1,W19ND1810Y-8,0,0,642.9819
HARS22_chips,28,3,3,1,W19ND1810Y-8,0,0,642.9819
HARS22_chips,42,3,3,1,W19ND1810Y-8,25.105,0.0699338242411613,642.9819
HARS22_chips,50,3,3,1,W19ND1810Y-8,61.956,0.195087864995003,642.9819
HARS22_chips,62,3,3,1,W19ND1810Y-8,94.459,0.896725296974182,642.9819
HARS22_chips,77,3,3,1,W19ND1810Y-8,99.907,0.734365701675415,642.9819
HARS22_chips,84,3,3,1,W19ND1810Y-8,100.032,0.597395122051239,642.9819
HARS22_chips,96,3,3,1,W19ND1810Y-8,99.384,0.373959392309189,642.9819
HARS22_chips,105,3,3,1,W19ND1810Y-8,99.682,0.313375204801559,642.9819
HARS22_chips,0,4,4,1,W19002-2,0,0,531.6377
HARS22_chips,28,4,4,1,W19002-2,0,0,531.6377
HARS22_chips,42,4,4,1,W19002-2,28.307,0.09,531.6377
HARS22_chips,50,4,4,1,W19002-2,71.173,0.210849612951279,531.6377
HARS22_chips,62,4,4,1,W19002-2,99.856,0.853557765483856,531.6377
HARS22_chips,77,4,4,1,W19002-2,99.956,0.582263767719269,531.6377
HARS22_chips,84,4,4,1,W19002-2,100.012,0.42208394408226,531.6377
HARS22_chips,96,4,4,1,W19002-2,99.967,0.264402240514755,531.6377
HARS22_chips,105,4,4,1,W19002-2,99.867,0.223585650324821,531.6377
HARS22_chips,0,5,5,1,W19007-7,0,0,393.26815
HARS22_chips,28,5,5,1,W19007-7,0,0,393.26815
HARS22_chips,42,5,5,1,W19007-7,34.073,0.105914652347565,393.26815
HARS22_chips,50,5,5,1,W19007-7,69.373,0.254780977964401,393.26815
HARS22_chips,62,5,5,1,W19007-7,79.73,0.728647351264954,393.26815
HARS22_chips,77,5,5,1,W19007-7,98.185,0.482446104288101,393.26815
HARS22_chips,84,5,5,1,W19007-7,100.004,0.447129100561142,393.26815
HARS22_chips,96,5,5,1,W19007-7,99.562,0.366578102111816,393.26815
HARS22_chips,105,5,5,1,W19007-7,95.651,0.304970115423203,393.26815
HARS22_chips,0,6,6,1,W19007-18,0,0,592.34945
HARS22_chips,28,6,6,1,W19007-18,0,0,592.34945
HARS22_chips,42,6,6,1,W19007-18,10.045,0.0234270039945841,592.34945
HARS22_chips,50,6,6,1,W19007-18,38.246,0.0727364718914032,592.34945
HARS22_chips,62,6,6,1,W19007-18,73.843,0.829189538955688,592.34945
HARS22_chips,77,6,6,1,W19007-18,99.952,0.703704297542572,592.34945
HARS22_chips,84,6,6,1,W19007-18,100.044,0.552597641944885,592.34945
