location,Year,sowing_date,harvest_date,plot.UID,time_since_sowing,Canopy_cover
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,0,0
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,22,0.0204171646907289
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,25,0.0456814953869796
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,29,0.065910741700796
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,34,0.131715128492619
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,40,0.17622921596549
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,43,0.202413034876805
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,47,0.33946739685072
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,48,0.407914160503444
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,53,0.54428785105993
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,57,0.57740752939215
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,60,0.634883784184273
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,63,0.81519214501056
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,66,0.805363576594346
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,69,0.929383519614289
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,71,0.811847468770546
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,78,0.900448060486522
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,81,0.918052377821609
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,85,0.912161735700197
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,88,0.907625904010519
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,95,0.922082292351523
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,95,0.874204251588867
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,103,0.828212579443349
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,109,0.736609357878589
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,109,0.587394258163489
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,117,0.0346917598071444
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,117,0.0255872233179925
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,124,0.00612568485645409
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,126,0.00412941047556432
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,131,0.00327744904667982
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,137,0.00820644312952005
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,145,0.0102790927021696
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160001,151,0.016901033575402
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,0,0
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,22,0.022160253660689
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,25,0.0484700320597582
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,29,0.0547307637570373
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,34,0.129817693138762
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,40,0.212234696330773
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,43,0.235257461763923
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,47,0.4060401298973
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,48,0.454922300797121
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,53,0.634752141447569
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,57,0.562181873303762
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,60,0.633691806633304
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,63,0.786129792734537
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,66,0.802707667921655
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,69,0.924371068247199
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,71,0.733163473681915
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,78,0.871617428680755
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,81,0.864606071330149
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,85,0.87544992733754
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,88,0.828359969626497
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,95,0.866523250004461
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,95,0.805763481215812
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,103,0.805898670068816
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,109,0.880097276496024
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,109,0.791228139305732
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,117,0.238064844058233
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,117,0.198836161518834
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,124,0.0323557357743161
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,126,0.0153975270972487
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,131,0.0153135142261795
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,137,0.0297937149450719
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,145,0.0325712201147135
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160002,151,0.053031435024442
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,0,0
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,22,0.0240600199322266
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,25,0.0554343665760371
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,29,0.0746655531368743
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,34,0.185062526703808
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,40,0.261261882766468
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,43,0.301592041006662
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,47,0.49395131628318
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,48,0.529228338415026
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,53,0.720712649346563
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,57,0.533072861856561
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,60,0.595397322246142
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,63,0.67818161411752
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,66,0.761296125824922
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,69,0.893631855346515
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,71,0.761150591674936
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,78,0.875905918883447
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,81,0.883415762348347
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,85,0.869175416413244
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,88,0.854359401175881
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,95,0.866799913569577
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,95,0.784498410107024
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,103,0.735859155756159
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,109,0.622697722931805
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,109,0.487242709433721
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,117,0.0421593734327817
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,117,0.0321611874046331
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,124,0.0557748327411249
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,126,0.0432660296424341
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,131,0.0421535047003212
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,137,NA
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,145,NA
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160003,151,NA
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,0,0
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,22,0.0227722477572936
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,25,0.0443016879364197
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,29,0.0592758387721143
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,34,0.15185741506452
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,40,0.220012427517759
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,43,0.246986649176193
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,47,0.428116245846262
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,48,0.465086212637643
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,53,0.604567487523195
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,57,0.439706860010181
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,60,0.500029994300076
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,63,0.615326464218321
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,66,0.691190817129746
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,69,0.853854504532166
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,71,0.770356827575137
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,78,0.871616092566797
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,81,0.899305854118061
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,85,0.881994005820297
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,88,0.857137602442767
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,95,0.878766664564787
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,95,0.836673172940779
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,103,0.814895426691201
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,109,0.791828248694446
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,109,0.675178564263071
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,117,0.0881631192664056
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,117,0.0648148148148148
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,124,0.0479202374742281
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,126,0.0394989834543825
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,131,0.0435728091244523
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,137,NA
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,145,NA
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160004,151,NA
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160005,0,0
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160005,22,0.027841917201148
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160005,25,0.048946847788146
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160005,29,0.0601888101664317
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160005,34,0.147420608038019
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160005,40,0.247168670176562
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160005,43,0.255049188444668
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160005,47,0.440335773100368
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160005,48,0.477775051145005
Eschikon,2022,2022-04-21,2022-09-23,FPSB0160005,53,0.634415347520101
